meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[3053.39069417],0.101428375,0.33398998,0.11187334544956684,0.6219368577003479,0.5100635122507811,-0.8622827,0.0012139587,0.0012139587,3045.325055268493,-11.537777,-457.14902,213.07199,-11.537777,-457.14902,213.07199,670.221,-11.537777,female
[3048.98737613],0.08864972,0.39628643,0.1559017449617386,0.6799325048923492,0.5240307599306107,-1.0306734,0.00085618836,0.00085618836,2654.1103658801467,-10.373816,-458.43488,223.0571,-10.373816,-458.43488,223.0571,681.49194,-10.373816,female
[2945.29693808],0.10315224,0.35306454,0.1347651295363903,0.6358098685741425,0.5010447390377522,-0.86850166,0.0012365622,0.0012365622,2743.232671233991,-11.670854,-460.56644,230.10867,-11.670854,-460.56644,230.10867,690.6751,-11.670854,female
[2836.18145184],0.113500625,0.33547893,0.12715521454811096,0.6319635063409805,0.5048082917928696,-0.8878992,0.0009939923,0.0009939923,2741.5817419315586,-10.191662,-434.73764,223.63165,-10.191662,-434.73764,223.63165,658.36926,-10.191662,female
[3399.80672327],0.1082339,0.45171806,0.21473614498972893,0.6955629885196686,0.48082684352993965,-1.0249257,0.0013812061,0.0013812061,3546.7594906057548,-10.1713915,-379.14352,241.8491,-10.1713915,-379.14352,241.8491,620.9926,-10.1713915,female
[3051.53460494],0.09233951,0.38041115,0.17917407676577568,0.6527477353811264,0.4735736586153507,-0.78513575,0.0010298507,0.0010298507,2936.4842071460394,-10.051907,-420.01755,220.09416,-10.051907,-420.01755,220.09416,640.1117,-10.051907,female
[3039.37093572],0.12111965,0.33988333,0.13678986206650734,0.6253767311573029,0.4885868690907955,-0.8082607,0.0014974689,0.0014974689,3428.924181071713,-9.601063,-378.89304,211.05743,-9.601063,-378.89304,211.05743,589.95044,-9.601063,female
[3059.41062],0.11256678,0.34858572,0.13507140055298805,0.6424433887004852,0.5073719881474972,-0.88094926,0.0013055464,0.0013055464,3188.952104054704,-11.116986,-428.14355,237.42879,-11.116986,-428.14355,237.42879,665.5723,-11.116986,female
[3125.47827943],0.09761166,0.36046135,0.15252195298671722,0.6512088924646378,0.49868693947792053,-0.89827937,0.0011650672,0.0011650672,3207.315209273913,-9.415362,-394.64798,214.81491,-9.415362,-394.64798,214.81491,609.4629,-9.415362,female
[2964.23158195],0.11135836,0.37043458,0.14645002409815788,0.6376945823431015,0.4912445582449436,-0.86783004,0.0010081922,0.0010081922,3074.8046979491896,-8.967942,-436.07278,223.4036,-8.967942,-436.07278,223.4036,659.4764,-8.967942,female
[2966.99461042],0.12320879,0.34579396,0.1181742325425148,0.6583054065704346,0.5401311740279198,-1.0001949,0.0008182032,0.0008182032,2842.034744734179,-8.765834,-435.88925,229.77153,-8.765834,-435.88925,229.77153,665.66077,-8.765834,female
[3379.44141188],0.09039053,0.4242288,0.2004036381840706,0.6973805129528046,0.496976874768734,-0.96402174,0.0019942273,0.0019942273,3459.7564260680465,-10.630641,-443.57343,227.57362,-10.630641,-443.57343,227.57362,671.14703,-10.630641,female
[3223.30411713],0.10214478,0.48379678,0.2742810994386673,0.7075580805540085,0.4332769811153412,-0.8933046,0.0011636721,0.0011636721,3056.741258952367,-8.528687,-387.65445,233.4248,-8.528687,-387.65445,233.4248,621.0792,-8.528687,female
[2955.75211074],0.13677455,0.33209044,0.10982663556933403,0.6471495479345322,0.5373229123651981,-0.9733825,0.00074137567,0.00074137567,2933.8659667687234,-9.326205,-405.0586,227.77567,-9.326205,-405.0586,227.77567,632.8342,-9.326205,female
